city,city_ascii,state_id,state_name
Central,Central,LA,Louisiana
East Lake-Orient Park,East Lake-Orient Park,FL,Florida
Chicago Heights,Chicago Heights,IL,Illinois
East Palo Alto,East Palo Alto,CA,California
Newberg,Newberg,OR,Oregon
Lewes,Lewes,DE,Delaware
North Attleborough,North Attleborough,MA,Massachusetts
Washington,Washington,UT,Utah
Port Chester,Port Chester,NY,New York
Oak Ridge,Oak Ridge,TN,Tennessee
Crofton,Crofton,MD,Maryland
Athens,Athens,OH,Ohio
Laplace,Laplace,LA,Louisiana
SeaTac,SeaTac,WA,Washington
Raytown,Raytown,MO,Missouri
Paragould,Paragould,AR,Arkansas
Graham,Graham,WA,Washington
Southgate,Southgate,MI,Michigan
Harrison,Harrison,NY,New York
Niles,Niles,IL,Illinois
Fernandina Beach,Fernandina Beach,FL,Florida
Big Spring,Big Spring,TX,Texas
Bella Vista,Bella Vista,AR,Arkansas
Milton,Milton,PA,Pennsylvania
Morrisville,Morrisville,NC,North Carolina
Greenville,Greenville,TX,Texas
Casselberry,Casselberry,FL,Florida
Plattsburgh,Plattsburgh,NY,New York
Wasco,Wasco,CA,California
South Laurel,South Laurel,MD,Maryland
Fleming Island,Fleming Island,FL,Florida
Belle Glade,Belle Glade,FL,Florida
Lake in the Hills,Lake in the Hills,IL,Illinois
Agawam,Agawam,MA,Massachusetts
Shirley,Shirley,NY,New York
Burton,Burton,MI,Michigan
Geneva,Geneva,NY,New York
Schererville,Schererville,IN,Indiana
Independence,Independence,KY,Kentucky
West Springfield,West Springfield,MA,Massachusetts
Austintown,Austintown,OH,Ohio
Burlington,Burlington,IA,Iowa
Shamokin,Shamokin,PA,Pennsylvania
New Iberia,New Iberia,LA,Louisiana
Northampton,Northampton,MA,Massachusetts
Englewood,Englewood,NJ,New Jersey
Vineyard,Vineyard,CA,California
Zionsville,Zionsville,IN,Indiana
Short Pump,Short Pump,VA,Virginia
Burbank,Burbank,IL,Illinois
Lumberton,Lumberton,NC,North Carolina
Perry Hall,Perry Hall,MD,Maryland
Aberdeen,Aberdeen,SD,South Dakota
Benicia,Benicia,CA,California
Oakleaf Plantation,Oakleaf Plantation,FL,Florida
Jacksonville,Jacksonville,AR,Arkansas
Winchester,Winchester,NV,Nevada
Rockledge,Rockledge,FL,Florida
Henderson,Henderson,KY,Kentucky
Monterey,Monterey,CA,California
Converse,Converse,TX,Texas
Granite City,Granite City,IL,Illinois
Yukon,Yukon,OK,Oklahoma
Sonora,Sonora,CA,California
Melrose,Melrose,MA,Massachusetts
Mehlville,Mehlville,MO,Missouri
Wisconsin Rapids,Wisconsin Rapids,WI,Wisconsin
Galt,Galt,CA,California
Hutto,Hutto,TX,Texas
Bixby,Bixby,OK,Oklahoma
Hobart,Hobart,IN,Indiana
Drexel Hill,Drexel Hill,PA,Pennsylvania
Oakdale,Oakdale,MN,Minnesota
Sunbury,Sunbury,PA,Pennsylvania
Summerlin South,Summerlin South,NV,Nevada
New Smyrna Beach,New Smyrna Beach,FL,Florida
Tualatin,Tualatin,OR,Oregon
Forest Hills,Forest Hills,MI,Michigan
Fridley,Fridley,MN,Minnesota
East Chicago,East Chicago,IN,Indiana
Kirkwood,Kirkwood,MO,Missouri
Sanger,Sanger,CA,California
Morgan City,Morgan City,LA,Louisiana
Ramsey,Ramsey,MN,Minnesota
Ruston,Ruston,LA,Louisiana
Jeffersontown,Jeffersontown,KY,Kentucky
Glen Ellyn,Glen Ellyn,IL,Illinois
Isla Vista,Isla Vista,CA,California
Cañon City,Canon City,CO,Colorado
Monticello,Monticello,MN,Minnesota
Ashtabula,Ashtabula,OH,Ohio
Temescal Valley,Temescal Valley,CA,California
Bridgewater,Bridgewater,MA,Massachusetts
Mint Hill,Mint Hill,NC,North Carolina
Mililani Town,Mililani Town,HI,Hawaii
Statesville,Statesville,NC,North Carolina
Gloversville,Gloversville,NY,New York
Gladstone,Gladstone,MO,Missouri
Deer Park,Deer Park,NY,New York
Fremont,Fremont,NE,Nebraska
Garfield Heights,Garfield Heights,OH,Ohio
Imperial Beach,Imperial Beach,CA,California
Seneca,Seneca,SC,South Carolina
Florence,Florence,AZ,Arizona
Bayonet Point,Bayonet Point,FL,Florida
Lansing,Lansing,IL,Illinois
Millville,Millville,NJ,New Jersey
Monroeville,Monroeville,PA,Pennsylvania
St. Helens,St. Helens,OR,Oregon
Bergenfield,Bergenfield,NJ,New Jersey
Ladera Ranch,Ladera Ranch,CA,California
Horn Lake,Horn Lake,MS,Mississippi
Prior Lake,Prior Lake,MN,Minnesota
Huntley,Huntley,IL,Illinois
Maple Valley,Maple Valley,WA,Washington
Easton,Easton,PA,Pennsylvania
Oak Forest,Oak Forest,IL,Illinois
Glen Cove,Glen Cove,NY,New York
Indiana,Indiana,PA,Pennsylvania
Shoreview,Shoreview,MN,Minnesota
Windsor,Windsor,CA,California
Sterling,Sterling,IL,Illinois
Dodge City,Dodge City,KS,Kansas
Colleyville,Colleyville,TX,Texas
Wilmette,Wilmette,IL,Illinois
Plum,Plum,PA,Pennsylvania
Mount Pleasant,Mount Pleasant,WI,Wisconsin
McHenry,McHenry,IL,Illinois
Waterville,Waterville,ME,Maine
Norfolk,Norfolk,NE,Nebraska
Shaker Heights,Shaker Heights,OH,Ohio
Citrus Park,Citrus Park,FL,Florida
Reisterstown,Reisterstown,MD,Maryland
Erie,Erie,CO,Colorado
Brownsburg,Brownsburg,IN,Indiana
Chaska,Chaska,MN,Minnesota
Ilchester,Ilchester,MD,Maryland
Shelby,Shelby,NC,North Carolina
Maywood,Maywood,CA,California
Maryland Heights,Maryland Heights,MO,Missouri
Magna,Magna,UT,Utah
Xenia,Xenia,OH,Ohio
Belmont,Belmont,CA,California
Allen Park,Allen Park,MI,Michigan
Mason City,Mason City,IA,Iowa
New Lenox,New Lenox,IL,Illinois
Hanahan,Hanahan,SC,South Carolina
Kinston,Kinston,NC,North Carolina
Searcy,Searcy,AR,Arkansas
New London,New London,CT,Connecticut
West Islip,West Islip,NY,New York
West Chicago,West Chicago,IL,Illinois
Kiryas Joel,Kiryas Joel,NY,New York
Lemon Grove,Lemon Grove,CA,California
Lindenhurst,Lindenhurst,NY,New York
McDonough,McDonough,GA,Georgia
West Linn,West Linn,OR,Oregon
Cortland,Cortland,NY,New York
Lemoore,Lemoore,CA,California
Alvin,Alvin,TX,Texas
Waynesboro,Waynesboro,PA,Pennsylvania
Marshalltown,Marshalltown,IA,Iowa
Lebanon,Lebanon,NH,New Hampshire
West Whittier-Los Nietos,West Whittier-Los Nietos,CA,California
Leisure City,Leisure City,FL,Florida
Thomasville,Thomasville,NC,North Carolina
Temple Terrace,Temple Terrace,FL,Florida
Lafayette,Lafayette,CA,California
University Park,University Park,FL,Florida
Norco,Norco,CA,California
Immokalee,Immokalee,FL,Florida
Vernon Hills,Vernon Hills,IL,Illinois
Pearl,Pearl,MS,Mississippi
Bethany,Bethany,OR,Oregon
Marquette,Marquette,MI,Michigan
Sedalia,Sedalia,MO,Missouri
Bessemer,Bessemer,AL,Alabama
Plainview,Plainview,NY,New York
Batavia,Batavia,IL,Illinois
Garden City,Garden City,MI,Michigan
Chanhassen,Chanhassen,MN,Minnesota
Cabot,Cabot,AR,Arkansas
Vicksburg,Vicksburg,MS,Mississippi
Brawley,Brawley,CA,California
Neenah,Neenah,WI,Wisconsin
Snoqualmie,Snoqualmie,WA,Washington
Troy,Troy,OH,Ohio
Hercules,Hercules,CA,California
Lake City,Lake City,FL,Florida
Paramus,Paramus,NJ,New Jersey
Okeechobee,Okeechobee,FL,Florida
Soledad,Soledad,CA,California
Muscatine,Muscatine,IA,Iowa
Boone,Boone,NC,North Carolina
Moscow,Moscow,ID,Idaho
Cliffside Park,Cliffside Park,NJ,New Jersey
Sebastian,Sebastian,FL,Florida
Northport,Northport,AL,Alabama
Natchez,Natchez,MS,Mississippi
Winchester,Winchester,KY,Kentucky
Twentynine Palms,Twentynine Palms,CA,California
Holt,Holt,MI,Michigan
East St. Louis,East St. Louis,IL,Illinois
Sachse,Sachse,TX,Texas
Paris,Paris,TX,Texas
Haines City,Haines City,FL,Florida
Cave Spring,Cave Spring,VA,Virginia
Superior,Superior,WI,Wisconsin
West Odessa,West Odessa,TX,Texas
Medina,Medina,OH,Ohio
Conway,Conway,SC,South Carolina
Barberton,Barberton,OH,Ohio
Española,Espanola,NM,New Mexico
Dix Hills,Dix Hills,NY,New York
Rock Springs,Rock Springs,WY,Wyoming
Mercer Island,Mercer Island,WA,Washington
Heber,Heber,UT,Utah
White Bear Lake,White Bear Lake,MN,Minnesota
Laurel,Laurel,MS,Mississippi
Holbrook,Holbrook,NY,New York
Bay Point,Bay Point,CA,California
Woodstock,Woodstock,IL,Illinois
Lochearn,Lochearn,MD,Maryland
Green,Green,OH,Ohio
Cloverleaf,Cloverleaf,TX,Texas
Owatonna,Owatonna,MN,Minnesota
Decatur,Decatur,GA,Georgia
Pooler,Pooler,GA,Georgia
Madison,Madison,MS,Mississippi
Lancaster,Lancaster,SC,South Carolina
Ewa Gentry,Ewa Gentry,HI,Hawaii
Laurel,Laurel,MD,Maryland
Austin,Austin,MN,Minnesota
Lockport,Lockport,IL,Illinois
Franklin,Franklin,IN,Indiana
South Salt Lake,South Salt Lake,UT,Utah
Tarpon Springs,Tarpon Springs,FL,Florida
Edgewood,Edgewood,MD,Maryland
San Lorenzo,San Lorenzo,CA,California
Bluffton,Bluffton,SC,South Carolina
Sevierville,Sevierville,TN,Tennessee
Forest Grove,Forest Grove,OR,Oregon
Sun City West,Sun City West,AZ,Arizona
South Portland,South Portland,ME,Maine
Ruskin,Ruskin,FL,Florida
Denison,Denison,TX,Texas
El Cerrito,El Cerrito,CA,California
Keystone,Keystone,FL,Florida
Coral Terrace,Coral Terrace,FL,Florida
Claremore,Claremore,OK,Oklahoma
Homewood,Homewood,AL,Alabama
Farmington,Farmington,UT,Utah
Columbine,Columbine,CO,Colorado
South Pasadena,South Pasadena,CA,California
Canyon Lake,Canyon Lake,TX,Texas
Kingsville,Kingsville,TX,Texas
Forest City,Forest City,NC,North Carolina
Salem,Salem,VA,Virginia
Bainbridge Island,Bainbridge Island,WA,Washington
Caledonia,Caledonia,WI,Wisconsin
Champlin,Champlin,MN,Minnesota
Edwardsville,Edwardsville,IL,Illinois
South Bradenton,South Bradenton,FL,Florida
Fairland,Fairland,MD,Maryland
Palm Springs,Palm Springs,FL,Florida
Elk River,Elk River,MN,Minnesota
Rosemount,Rosemount,MN,Minnesota
Fountain Hills,Fountain Hills,AZ,Arizona
Belvidere,Belvidere,IL,Illinois
Riverside,Riverside,OH,Ohio
Middle River,Middle River,MD,Maryland
Muskego,Muskego,WI,Wisconsin
Levittown,Levittown,PR,Puerto Rico
Hazelwood,Hazelwood,MO,Missouri
Scottsbluff,Scottsbluff,NE,Nebraska
Fresno,Fresno,TX,Texas
Ridgewood,Ridgewood,NJ,New Jersey
Yucca Valley,Yucca Valley,CA,California
Branson,Branson,MO,Missouri
Balch Springs,Balch Springs,TX,Texas
University Park,University Park,TX,Texas
Timberwood Park,Timberwood Park,TX,Texas
De Pere,De Pere,WI,Wisconsin
Socastee,Socastee,SC,South Carolina
Terrytown,Terrytown,LA,Louisiana
Fajardo,Fajardo,PR,Puerto Rico
Marysville,Marysville,OH,Ohio
Derby,Derby,KS,Kansas
Wilsonville,Wilsonville,OR,Oregon
Clayton,Clayton,NC,North Carolina
Brookings,Brookings,SD,South Dakota
Riverbank,Riverbank,CA,California
North Laurel,North Laurel,MD,Maryland
Walker,Walker,MI,Michigan
Wyandotte,Wyandotte,MI,Michigan
Grandview,Grandview,MO,Missouri
Forest Lake,Forest Lake,MN,Minnesota
Chesapeake Beach,Chesapeake Beach,MD,Maryland
Palm City,Palm City,FL,Florida
Hudson,Hudson,WI,Wisconsin
Clarksburg,Clarksburg,MD,Maryland
South Elgin,South Elgin,IL,Illinois
Auburn Hills,Auburn Hills,MI,Michigan
Baldwin,Baldwin,NY,New York
North Tustin,North Tustin,CA,California
Ontario,Ontario,OR,Oregon
Melrose Park,Melrose Park,IL,Illinois
Ardmore,Ardmore,OK,Oklahoma
Hastings,Hastings,NE,Nebraska
Burlington,Burlington,WI,Wisconsin
Norton Shores,Norton Shores,MI,Michigan
Kernersville,Kernersville,NC,North Carolina
Sugar Hill,Sugar Hill,GA,Georgia
Herndon,Herndon,VA,Virginia
Emporia,Emporia,KS,Kansas
Prosper,Prosper,TX,Texas
Rockville Centre,Rockville Centre,NY,New York
Palmetto Bay,Palmetto Bay,FL,Florida
Suitland,Suitland,MD,Maryland
Somerset,Somerset,NJ,New Jersey
Avon Lake,Avon Lake,OH,Ohio
Lathrop,Lathrop,CA,California
Loma Linda,Loma Linda,CA,California
Watauga,Watauga,TX,Texas
Homer Glen,Homer Glen,IL,Illinois
Tifton,Tifton,GA,Georgia
Dinuba,Dinuba,CA,California
Bloomingdale,Bloomingdale,FL,Florida
Westmont,Westmont,IL,Illinois
Clinton,Clinton,MS,Mississippi
Ashland,Ashland,CA,California
Opelousas,Opelousas,LA,Louisiana
Camas,Camas,WA,Washington
Harvey,Harvey,IL,Illinois
Medford,Medford,NY,New York
Trotwood,Trotwood,OH,Ohio
West Memphis,West Memphis,AR,Arkansas
Collinsville,Collinsville,IL,Illinois
Mequon,Mequon,WI,Wisconsin
Ellensburg,Ellensburg,WA,Washington
Ottumwa,Ottumwa,IA,Iowa
Chantilly,Chantilly,VA,Virginia
Shelbyville,Shelbyville,KY,Kentucky
Woodlawn,Woodlawn,VA,Virginia
Lodi,Lodi,NJ,New Jersey
Orchards,Orchards,WA,Washington
Newport,Newport,RI,Rhode Island
San Fernando,San Fernando,CA,California
Saginaw,Saginaw,TX,Texas
Peekskill,Peekskill,NY,New York
Port Angeles,Port Angeles,WA,Washington
Mill Creek East,Mill Creek East,WA,Washington
Brandon,Brandon,MS,Mississippi
Sun City Center,Sun City Center,FL,Florida
Inkster,Inkster,MI,Michigan
Thomasville,Thomasville,GA,Georgia
Ponca City,Ponca City,OK,Oklahoma
Cataño,Catano,PR,Puerto Rico
Tysons,Tysons,VA,Virginia
West Melbourne,West Melbourne,FL,Florida
Faribault,Faribault,MN,Minnesota
San Benito,San Benito,TX,Texas
Fort Washington,Fort Washington,MD,Maryland
Lincolnton,Lincolnton,NC,North Carolina
West Springfield,West Springfield,VA,Virginia
Simpsonville,Simpsonville,SC,South Carolina
Waverly,Waverly,MI,Michigan
Bailey's Crossroads,Bailey's Crossroads,VA,Virginia
Okemos,Okemos,MI,Michigan
Ridgeland,Ridgeland,MS,Mississippi
Elmwood Park,Elmwood Park,IL,Illinois
North Platte,North Platte,NE,Nebraska
Charles Town,Charles Town,WV,West Virginia
Freeport,Freeport,IL,Illinois
Waukee,Waukee,IA,Iowa
South Plainfield,South Plainfield,NJ,New Jersey
Wadsworth,Wadsworth,OH,Ohio
Tumwater,Tumwater,WA,Washington
Fairfax,Fairfax,VA,Virginia
Candler-McAfee,Candler-McAfee,GA,Georgia
Oak Ridge,Oak Ridge,FL,Florida
Venice,Venice,FL,Florida
Wright,Wright,FL,Florida
Lincolnia,Lincolnia,VA,Virginia
Westchase,Westchase,FL,Florida
Edgewater,Edgewater,FL,Florida
North Potomac,North Potomac,MD,Maryland
Pelham,Pelham,AL,Alabama
Corsicana,Corsicana,TX,Texas
Seal Beach,Seal Beach,CA,California
Fort Dodge,Fort Dodge,IA,Iowa
Dunkirk,Dunkirk,NY,New York
Calabasas,Calabasas,CA,California
Chalmette,Chalmette,LA,Louisiana
North Augusta,North Augusta,SC,South Carolina
Palm River-Clair Mel,Palm River-Clair Mel,FL,Florida
Mount Pocono,Mount Pocono,PA,Pennsylvania
Farragut,Farragut,TN,Tennessee
Jenks,Jenks,OK,Oklahoma
Palatka,Palatka,FL,Florida
Coronado,Coronado,CA,California
Valinda,Valinda,CA,California
Centerville,Centerville,OH,Ohio
Van Buren,Van Buren,AR,Arkansas
Greeneville,Greeneville,TN,Tennessee
Waycross,Waycross,GA,Georgia
Half Moon Bay,Half Moon Bay,CA,California
Belton,Belton,MO,Missouri
Jacksonville Beach,Jacksonville Beach,FL,Florida
North Lynnwood,North Lynnwood,WA,Washington
Ilion,Ilion,NY,New York
Rosemont,Rosemont,CA,California
Seymour,Seymour,IN,Indiana
Oakdale,Oakdale,CA,California
Madisonville,Madisonville,KY,Kentucky
Romulus,Romulus,MI,Michigan
Cudahy,Cudahy,CA,California
Copiague,Copiague,NY,New York
Winter Gardens,Winter Gardens,CA,California
Leland,Leland,NC,North Carolina
Rolling Meadows,Rolling Meadows,IL,Illinois
Wekiwa Springs,Wekiwa Springs,FL,Florida
Northdale,Northdale,FL,Florida
Fort Hood,Fort Hood,TX,Texas
Benbrook,Benbrook,TX,Texas
Zion,Zion,IL,Illinois
Watertown,Watertown,WI,Wisconsin
Montrose,Montrose,CO,Colorado
Hialeah Gardens,Hialeah Gardens,FL,Florida
Columbus,Columbus,NE,Nebraska
Plainview,Plainview,TX,Texas
Auburn,Auburn,ME,Maine
Carteret,Carteret,NJ,New Jersey
Arnold,Arnold,MD,Maryland
Avon,Avon,OH,Ohio
West Puente Valley,West Puente Valley,CA,California
Loves Park,Loves Park,IL,Illinois
Vero Beach South,Vero Beach South,FL,Florida
Lisle,Lisle,IL,Illinois
Greenbelt,Greenbelt,MD,Maryland
Granite Bay,Granite Bay,CA,California
Maywood,Maywood,IL,Illinois
Dickinson,Dickinson,ND,North Dakota
Oxford,Oxford,OH,Ohio
Kenmore,Kenmore,WA,Washington
Allison Park,Allison Park,PA,Pennsylvania
Farmington,Farmington,MN,Minnesota
Monsey,Monsey,NY,New York
Hastings,Hastings,MN,Minnesota
Rockingham,Rockingham,NC,North Carolina
Greenfield,Greenfield,IN,Indiana
Auburn,Auburn,IN,Indiana
Frederickson,Frederickson,WA,Washington
Willoughby,Willoughby,OH,Ohio
Mustang,Mustang,OK,Oklahoma
Patterson,Patterson,CA,California
Gallup,Gallup,NM,New Mexico
Radcliff,Radcliff,KY,Kentucky
West Rancho Dominguez,West Rancho Dominguez,CA,California
Blue Island,Blue Island,IL,Illinois
Crystal,Crystal,MN,Minnesota
Belton,Belton,TX,Texas
Pace,Pace,FL,Florida
Marshall,Marshall,TX,Texas
Laguna Beach,Laguna Beach,CA,California
Webster Groves,Webster Groves,MO,Missouri
Acworth,Acworth,GA,Georgia
Griffin,Griffin,GA,Georgia
Willowbrook,Willowbrook,CA,California
Morton Grove,Morton Grove,IL,Illinois
Keene,Keene,NH,New Hampshire
Marina,Marina,CA,California
Solon,Solon,OH,Ohio
New Brighton,New Brighton,MN,Minnesota
Mandan,Mandan,ND,North Dakota
Pittsburg,Pittsburg,KS,Kansas
Elizabeth City,Elizabeth City,NC,North Carolina
Harriman,Harriman,TN,Tennessee
Ives Estates,Ives Estates,FL,Florida
Greenfield,Greenfield,MA,Massachusetts
Fairhope,Fairhope,AL,Alabama
Cottage Lake,Cottage Lake,WA,Washington
Machesney Park,Machesney Park,IL,Illinois
Braidwood,Braidwood,IL,Illinois
Hurricane,Hurricane,UT,Utah
Trussville,Trussville,AL,Alabama
Waynesboro,Waynesboro,VA,Virginia
Johnston,Johnston,IA,Iowa
Corcoran,Corcoran,CA,California
Meadville,Meadville,PA,Pennsylvania
Landover,Landover,MD,Maryland
Happy Valley,Happy Valley,OR,Oregon
East Peoria,East Peoria,IL,Illinois
Hopewell,Hopewell,VA,Virginia
Fort Walton Beach,Fort Walton Beach,FL,Florida
Nixa,Nixa,MO,Missouri
Clinton,Clinton,UT,Utah
Munster,Munster,IN,Indiana
Christiansburg,Christiansburg,VA,Virginia
Anthem,Anthem,AZ,Arizona
Roselle,Roselle,IL,Illinois
Garden City,Garden City,NY,New York
The Crossings,The Crossings,FL,Florida
Warrensburg,Warrensburg,MO,Missouri
Kihei,Kihei,HI,Hawaii
Union City,Union City,GA,Georgia
Millbrae,Millbrae,CA,California
Florida Ridge,Florida Ridge,FL,Florida
Silver Firs,Silver Firs,WA,Washington
Dolton,Dolton,IL,Illinois
Duncan,Duncan,OK,Oklahoma
Brent,Brent,FL,Florida
Northfield,Northfield,MN,Minnesota
Highland,Highland,IN,Indiana
Sequim,Sequim,WA,Washington
Prairie Village,Prairie Village,KS,Kansas
Kuna,Kuna,ID,Idaho
Coralville,Coralville,IA,Iowa
Fort Mill,Fort Mill,SC,South Carolina
Rose Hill,Rose Hill,VA,Virginia
Hudson,Hudson,OH,Ohio
Lutz,Lutz,FL,Florida
Taylors,Taylors,SC,South Carolina
Roanoke Rapids,Roanoke Rapids,NC,North Carolina
Vega Baja,Vega Baja,PR,Puerto Rico
Raymore,Raymore,MO,Missouri
Ensley,Ensley,FL,Florida
Fremont,Fremont,OH,Ohio
Mukwonago,Mukwonago,WI,Wisconsin
Watertown,Watertown,SD,South Dakota
East Patchogue,East Patchogue,NY,New York
Lebanon,Lebanon,OR,Oregon
Pickerington,Pickerington,OH,Ohio
Lexington,Lexington,SC,South Carolina
Arvin,Arvin,CA,California
Lino Lakes,Lino Lakes,MN,Minnesota
Augusta,Augusta,ME,Maine
Milford,Milford,DE,Delaware
Shelbyville,Shelbyville,TN,Tennessee
Corinth,Corinth,TX,Texas
Naples,Naples,FL,Florida
West Carson,West Carson,CA,California
Maple Heights,Maple Heights,OH,Ohio
Lealman,Lealman,FL,Florida
Chester,Chester,VA,Virginia
Gardner,Gardner,KS,Kansas
Union Hill-Novelty Hill,Union Hill-Novelty Hill,WA,Washington
Hayesville,Hayesville,OR,Oregon
Siloam Springs,Siloam Springs,AR,Arkansas
Piqua,Piqua,OH,Ohio
Fish Hawk,Fish Hawk,FL,Florida
Port Hueneme,Port Hueneme,CA,California
Lakeside,Lakeside,CA,California
Summit,Summit,NJ,New Jersey
Secaucus,Secaucus,NJ,New Jersey
Golden Valley,Golden Valley,MN,Minnesota
Jasmine Estates,Jasmine Estates,FL,Florida
Mount Vernon,Mount Vernon,OH,Ohio
Bloomington,Bloomington,CA,California
Camp Springs,Camp Springs,MD,Maryland
Lennox,Lennox,CA,California
Roselle,Roselle,NJ,New Jersey
Geneva,Geneva,IL,Illinois
Sunny Isles Beach,Sunny Isles Beach,FL,Florida
Rancho San Diego,Rancho San Diego,CA,California
Massapequa,Massapequa,NY,New York
Bloomingdale,Bloomingdale,IL,Illinois
Shafter,Shafter,CA,California
Eastmont,Eastmont,WA,Washington
Katy,Katy,TX,Texas
Brownwood,Brownwood,TX,Texas
Del City,Del City,OK,Oklahoma
Jacksonville,Jacksonville,IL,Illinois
North Bay Shore,North Bay Shore,NY,New York
Silverdale,Silverdale,WA,Washington
Kapolei,Kapolei,HI,Hawaii
Allendale,Allendale,MI,Michigan
Darien,Darien,IL,Illinois
Perrysburg,Perrysburg,OH,Ohio
Lewistown,Lewistown,PA,Pennsylvania
Hamtramck,Hamtramck,MI,Michigan
La Porte,La Porte,IN,Indiana
Clarksville,Clarksville,IN,Indiana
New Castle,New Castle,IN,Indiana
Bellview,Bellview,FL,Florida
Biddeford,Biddeford,ME,Maine
McNair,McNair,VA,Virginia
Villa Park,Villa Park,IL,Illinois
Fernley,Fernley,NV,Nevada
Elkridge,Elkridge,MD,Maryland
Mukilteo,Mukilteo,WA,Washington
Atoka,Atoka,TN,Tennessee
Prichard,Prichard,AL,Alabama
Hays,Hays,KS,Kansas
Birmingham,Birmingham,MI,Michigan
Easley,Easley,SC,South Carolina
Brambleton,Brambleton,VA,Virginia
Mountlake Terrace,Mountlake Terrace,WA,Washington
Ramona,Ramona,CA,California
Owosso,Owosso,MI,Michigan
King of Prussia,King of Prussia,PA,Pennsylvania
DeBary,DeBary,FL,Florida
Eustis,Eustis,FL,Florida
South Euclid,South Euclid,OH,Ohio
South Holland,South Holland,IL,Illinois
Palm Valley,Palm Valley,FL,Florida
North Plainfield,North Plainfield,NJ,New Jersey
Ashland,Ashland,OR,Oregon
Sapulpa,Sapulpa,OK,Oklahoma
Duarte,Duarte,CA,California
Marietta,Marietta,OH,Ohio
Battle Ground,Battle Ground,WA,Washington
Stephenville,Stephenville,TX,Texas
Amsterdam,Amsterdam,NY,New York
Oxford,Oxford,AL,Alabama
Park Forest,Park Forest,IL,Illinois
Evans,Evans,CO,Colorado
Alexandria,Alexandria,MN,Minnesota
Fort Atkinson,Fort Atkinson,WI,Wisconsin
Hazel Dell,Hazel Dell,WA,Washington
Carrboro,Carrboro,NC,North Carolina
Bardstown,Bardstown,KY,Kentucky
East Ridge,East Ridge,TN,Tennessee
Elko,Elko,NV,Nevada
Covington,Covington,WA,Washington
Gaffney,Gaffney,SC,South Carolina
Sun Valley,Sun Valley,NV,Nevada
Sidney,Sidney,OH,Ohio
Bonney Lake,Bonney Lake,WA,Washington
Dickinson,Dickinson,TX,Texas
Martha Lake,Martha Lake,WA,Washington
Bothell West,Bothell West,WA,Washington
Arnold,Arnold,MO,Missouri
Ballenger Creek,Ballenger Creek,MD,Maryland
Rolla,Rolla,MO,Missouri
West Pensacola,West Pensacola,FL,Florida
Harvey,Harvey,LA,Louisiana
Johnstown,Johnstown,CO,Colorado
Cockeysville,Cockeysville,MD,Maryland
Pleasant Prairie,Pleasant Prairie,WI,Wisconsin
Shelbyville,Shelbyville,IN,Indiana
Sweetwater,Sweetwater,FL,Florida
St. Andrews,St. Andrews,SC,South Carolina
Milwaukie,Milwaukie,OR,Oregon
Bryant,Bryant,AR,Arkansas
Salmon Creek,Salmon Creek,WA,Washington
Kill Devil Hills,Kill Devil Hills,NC,North Carolina
North Salt Lake,North Salt Lake,UT,Utah
Apollo Beach,Apollo Beach,FL,Florida
Guayama,Guayama,PR,Puerto Rico
Cornelia,Cornelia,GA,Georgia
Suwanee,Suwanee,GA,Georgia
New Hope,New Hope,MN,Minnesota
Wade Hampton,Wade Hampton,SC,South Carolina
Green Valley,Green Valley,AZ,Arizona
Mill Creek,Mill Creek,WA,Washington
Universal City,Universal City,TX,Texas
Montclair,Montclair,VA,Virginia
Lorton,Lorton,VA,Virginia
Clemmons,Clemmons,NC,North Carolina
Rosamond,Rosamond,CA,California
Bear,Bear,DE,Delaware
Dyersburg,Dyersburg,TN,Tennessee
Oneida,Oneida,NY,New York
Hunters Creek,Hunters Creek,FL,Florida
Holiday,Holiday,FL,Florida
Louisville,Louisville,CO,Colorado
Dixon,Dixon,CA,California
Murray,Murray,KY,Kentucky
Golden,Golden,CO,Colorado
Olean,Olean,NY,New York
Clifton,Clifton,CO,Colorado
Grayslake,Grayslake,IL,Illinois
North Bellmore,North Bellmore,NY,New York
Palisades Park,Palisades Park,NJ,New Jersey
South Milwaukee,South Milwaukee,WI,Wisconsin
Gardner,Gardner,MA,Massachusetts
Havelock,Havelock,NC,North Carolina
Lake Ronkonkoma,Lake Ronkonkoma,NY,New York
Lebanon,Lebanon,OH,Ohio
East Moline,East Moline,IL,Illinois
Norwalk,Norwalk,OH,Ohio
Yorkville,Yorkville,IL,Illinois
Logansport,Logansport,IN,Indiana
Dublin,Dublin,GA,Georgia
North Ogden,North Ogden,UT,Utah
South El Monte,South El Monte,CA,California
Lynn Haven,Lynn Haven,FL,Florida
Ferguson,Ferguson,MO,Missouri
Arlington,Arlington,WA,Washington
Willmar,Willmar,MN,Minnesota
Alice,Alice,TX,Texas
Swansboro,Swansboro,NC,North Carolina
Murphy,Murphy,TX,Texas
Culpeper,Culpeper,VA,Virginia
Ozark,Ozark,MO,Missouri
American Canyon,American Canyon,CA,California
Papillion,Papillion,NE,Nebraska
The Dalles,The Dalles,OR,Oregon
Columbia Heights,Columbia Heights,MN,Minnesota
Barre,Barre,VT,Vermont
Amherst Center,Amherst Center,MA,Massachusetts
Crest Hill,Crest Hill,IL,Illinois
Punta Gorda,Punta Gorda,FL,Florida
Neabsco,Neabsco,VA,Virginia
Newton,Newton,KS,Kansas
